Category,Description,UOM,Customer Price,SKU,UPC,Manufacturer Part Number,Source Date,_Review
Misc,24IN 175 LB NATURAL 50,m,517.5640,296812,84047601047,ADT AL241759L,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,36IN 175LB NATURAL 50,m,613.1390,296819,84047601062,ADT AL361759L,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,1IN NAT RUB BASE MTNG PAD,m,174.4500,296831,84047602916,ADT ALMP10009C,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 3104-42-00 MC-QUIK LITE,m,793.6510,503954,7768025732,WIC. MCAQ 12/2,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 3105-42-00 MC-QUIK LITE,m,1401.3570,503961,7768025757,WIC. MCAQ 12/3,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 5807-60-00 ALU ARM BLK,m,2200.5710,796775,7768025914,WIC. MCSTATA 10,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 2804G60-05 HEALTH CARE,m,1305.0000,507864,7768016230,WIC. HCFHVA 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC 3905-60-01 480Y/2,m,2052.1670,524443,7768025948,WIC. MCPLUSHV 1,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC 3908-60-01 480Y/2,m,3694.6930,524444,7768025978,WIC. MCPLUSHV 1,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 5804-60-00 ALU ARM BLK,m,1691.7170,526453,7768025889,WIC. MCSTATA 12,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 5804-60-01 ALU ARM BRN,m,1691.7170,537617,7768025890,WIC. MCSTATA 12,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 3906-42-00,m,2458.5120,594834,7768025951,WIC. MCPLUS 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 3104Z60-01 HV MC-QUIK L,m,808.7690,867876,7768025741,WIC. MCHVAQ 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC PL10R60-06 FA STL,m,876.0820,1315437,7768033393,WIC. MCFAPLS 16,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC PL34R60-06 FA STL,m,938.1200,1338996,7768033395,WIC. MCFAPLS 14,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC PL50R60-06 FA STL ARM B,m,961.3130,1372080,7768033396,WIC. MCFAPLS 18,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC PL28R60-06 FA STL ARM B,m,1474.4380,1372823,7768033398,WIC. MCFAPLS 14,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 3906-60-00,m,2458.5120,655556,7768025957,WIC. MCPLUS 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,UNSHLD 1000R AFC 11GGR60-00,m,1670.8430,670186,7768023263,WIC. MCFAS 14/2,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC 3907-60-00 MC-PLU,m,3345.0800,399155,7768025967,WIC. MCPLUS 10/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC PL01R60-06 FA STL,m,791.4310,1395202,7768033391,WIC. MCFAPLS 18,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC PL60R60-06 FA STL ARM B,m,1269.7670,1395212,7768033397,WIC. MCFAPLS 16,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC PL91R60-06 FA STL,m,1847.8290,1395214,7768033400,WIC. MCFAPLS 16,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,250C AFC PL10R42-06 FA STL,m,876.0820,1395219,7768033378,WIC. MCFAPLS 16,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC PL60R42-06 FA STL ARM B,m,1269.7670,1395223,7768033382,WIC. MCFAPLS 16,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,250C AFC PL91R42-06 FA STL,m,1847.8290,1395224,7768033385,WIC. MCFAPLS 16,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 2107-60-00 ALU ARM BLK,m,1826.0480,435630,7768011432,WIC. MCA 10/2 S,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,BLU/WHT 1000R AFC 1881R60-0,m,1974.6980,726345,7768015588,WIC. MCFAS 14/4,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 4901-R60-00 16-2(1TSP),m,2057.0000,448522,7768018526,WIC. MCFAS 16/2,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC 3904-60-00 MC-PLU,m,1847.6760,462446,7768025937,WIC. MCPLUS 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC 3905-60-00 MC-PLU,m,2052.1670,469824,7768025947,WIC. MCPLUS 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 18BF-42-500 LUMINARY AL,m,1531.2070,981059,7768030908,WIC. MCLUMA 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1TPJ 250C AFC 18BF-42-501 H,m,1531.2070,981060,7768030881,WIC. MCLUMHVA 1,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1TPJ 250C AFC 18BF-42-502 H,m,1531.2070,981061,7768030884,WIC. MCLUMHVA 1,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1TPJ 250C AFC 18BF-42-503 H,m,1531.2070,981062,7768030887,WIC. MCLUMHVA 1,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC 18BF-60-500 LUMIN,m,1531.2070,981065,7768030909,WIC. MCLUMA 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1TPJ 1000R AFC 18BF-60-501,m,1531.2070,981066,7768030882,WIC. MCLUMHVA 1,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1TPJ 1000R AFC 18BF-60-502,m,1531.2070,981067,7768030885,WIC. MCLUMHVA 1,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1TPJ 1000R AFC 18BF-60-503,m,1531.2070,981068,7768030888,WIC. MCLUMHVA 1,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 18BG-42-500 LUMINARY AL,m,1835.5540,981559,7768031067,WIC. MCLUMA 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 3104Z60-00 MC-QUIK LITE,m,808.7690,478973,7768028406,WIC. MCAQ 12/2,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 3905-42-00,m,2052.1670,776404,7768025941,WIC. MCPLUS 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC 18BG-60-500 LUMIN,m,1835.5540,989556,7768031068,WIC. MCLUMA 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 3105-60-00 MC-QUIK LITE,m,1416.4760,486623,7768025767,WIC. MCAQ 12/3,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 3904-42-00 MC-PLUS,m,1847.6760,489371,7768025931,WIC. MCPLUS 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC 3909-60-00,m,4103.0160,789831,7768025987,WIC. MCPLUS 10/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 3907-42-00,m,3345.0800,789931,7768025961,WIC. MCPLUS 10/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 1707B60T01 HV STL ARM B,m,1779.8280,207434,7768019580,WIC. MCHVST 10/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 1707B42T01 HV STL ARM A,m,1765.3720,208947,7768019577,WIC. MCHVST 10/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 1707B60T03 HV STL ARM A,m,1779.8280,209242,7768020041,WIC. MCHVST 10/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 1707B60T00 STL ARM BLK,m,1779.8280,213126,7768019579,WIC. MCST 10/2,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,GRY 1000R AFC 1706B60T01 HV,m,1939.3600,206997,7768019572,WIC. MCHVST 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,GRY 250C AFC 1706B42T01 HV,m,1924.9180,207004,7768019570,WIC. MCHVST 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 1708B60T00 STL ARM BLK,m,2488.5000,206834,7768019589,WIC. MCST 10/3,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,250C AFC 1708B42T01 HV STL,m,2474.0580,207424,7768019587,WIC. MCHVST 10/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC 1708B60T01 HV STL,m,2488.5000,208955,7768019590,WIC. MCHVST 10/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,GRY 1000R AFC 1709B60T01 HV,m,3898.4790,207428,7768019597,WIC. MCHVST 10/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,GRY 250C AFC 1709B42T01 HV,m,3884.0240,208961,7768020012,WIC. MCHVST 10/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC S004B42T00 STL BLK WHT,m,759.7030,1714486,7768035584,WIC. MCSG 12/2,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC S004B60T00 STL BLK WHT,m,773.9010,1714488,7768035591,WIC. MCSG 12/2,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC S005B42T00 STL BLK RED,m,1365.0870,1714489,7768035605,WIC. MCSG 12/3,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC S005B60T00 STL BLK RED,m,1379.5280,1714490,7768035612,WIC. MCSG 12/3,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 5808-60-00 BLK RED WHT,m,4362.9970,1505887,7768025917,WIC. MCSTATA 10,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC 3906-60-714 STL A,m,2523.8350,1528797,7768027127,WIC. MCPLUSS 12,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 1707B60T02 HV STL ARM A,m,1779.8280,208802,7768019581,WIC. MCHVST 10/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 2304-42-00 PARK DECK ST,m,1481.6060,823900,7768011520,WIC. MCPDS 12/2,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,250C AFC S004B42T01 HV STL,m,773.1090,1735214,7768035585,WIC. MCHVSG 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,250C AFC S004B42T02 HV STL,m,773.1090,1735215,7768035586,WIC. MCHVSG 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,250C AFC S004B42T03 HV STL,m,773.1090,1735216,7768035587,WIC. MCHVSG 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,250C AFC S004B42T04 STL ARM,m,773.1090,1735217,7768035588,WIC. MCSG 12/2,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,250C AFC S004B42T05 STL ARM,m,773.1090,1735218,7768035589,WIC. MCSG 12/2,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC S004B60T01 HV STL,m,787.5580,1735220,7768035592,WIC. MCHVSG 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC S004B60T02 HV STL,m,787.5580,1735221,7768035593,WIC. MCHVSG 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC S004B60T03 HV STL,m,787.5580,1735222,7768035594,WIC. MCHVSG 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC S004B60T04 STL AR,m,787.5580,1735223,7768035595,WIC. MCSG 12/2,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC S004B60T05 STL AR,m,787.5580,1735224,7768035596,WIC. MCSG 12/2,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,GRN 250C AFC S005B42T01 HV,m,1365.0870,1735226,7768035606,WIC. MCHVSG 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,GRN 1000R AFC S005B60T01 HV,m,1379.5280,1735232,7768035613,WIC. MCHVSG 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC S058B60T00 STL ARM BLK,m,1015.4180,1735242,7768035631,WIC. MCSG 12/2,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 1707B60T04 STL ARM RED,m,1779.8280,210676,7768020044,WIC. MCST 10/2,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 1707B60T05 STL ARM BLU,m,1779.8280,210685,7768020047,WIC. MCST 10/2,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,250C AFC SL04B42-L00 LUMINA,m,1491.5750,1767838,7768036136,WIC. MCLUMTG 12,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1TPJ 250C AFC SL04B42-L01 L,m,1491.5750,1767839,7768036242,WIC. MCLUMHVTG,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,16/2 1TPJ 250C AFC SL04B42-,m,1491.5750,1767841,7768036254,WIC. MCLUMHVTG,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC SL04B60-L00 LUMIN,m,1491.5750,1767846,7768036137,WIC. MCLUMTG 12,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,16/2 SOL 1TPJ 1000R AFC SL0,m,1491.5750,1767847,7768036243,WIC. MCLUMHVTG,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,16/2 1TPJ 1000R AFC SL04B60,m,1491.5750,1767848,7768036258,WIC. MCLUMHVTG,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,16/2 1TPJ 1000R AFC SL04B60,m,1491.5750,1767849,7768036259,WIC. MCLUMHVTG,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1TPJ 1000R AFC SL04B60-L04,m,1491.5750,1767850,7768036260,WIC. MCLUMTG 12,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1TPJ 1000R AFC SL04B60-L05,m,1491.5750,1767851,7768036261,WIC. MCLUMTG 12,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC AL04-60-L00 LUMIN,m,1491.5750,1767862,7768036133,WIC. MCLUMAG 12,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,16/2 1TPJ 1000R AFC AL04-60,m,1491.5750,1767863,7768036239,WIC. MCLUMHVAG,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,16/2 1TPJ 1000R AFC 18BG-60,m,1788.0460,1767873,7768036186,WIC. MCLUMHVA 1,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 18BMB42TL00 LUMINARY ST,m,1788.0460,1767896,7768036414,WIC. MCLUMT 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,16/2 1TPJ 250C AFC 18BMB42T,m,1788.0460,1767897,7768036415,WIC. MCLUMHVT 1,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC 18BMB60TL00 LUMIN,m,1788.0460,1767900,7768036419,WIC. MCLUMT 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,16/2 1TPJ 1000R AFC 18BMB60,m,1788.0460,1767901,7768036420,WIC. MCLUMHVT 1,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,GRN 16/2 1TPJ 1000R AFC LH0,m,2060.3970,1767972,7768036545,WIC. MCLUMHCFHV,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC LH05-60-L00 LUMIN,m,3075.4870,1767979,7768036557,WIC. MCLUMHCFA,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,GRY 16/2 1TPJ 1000R AFC LH0,m,3075.4870,1767980,7768036560,WIC. MCLUMHCFHV,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC A004-42-00 ALU ARM BLK,m,759.7030,1619446,7768035152,WIC. MCAG 12/2,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC A004-60-00 ALU ARM BLK,m,774.1750,1619447,7768035159,WIC. MCAG 12/2,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC A004-42-01 HV ALU ARM B,m,793.6510,1619448,7768035153,WIC. MCHVAG 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC A004-60-01 HV ALU ARM B,m,808.7690,1619449,7768035160,WIC. MCHVAG 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC A004-42-02 HV ALU ARM O,m,793.6510,1619450,7768035154,WIC. MCHVAG 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC A004-60-02 HV ALU ARM O,m,808.7690,1619451,7768035161,WIC. MCHVAG 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC A004-60-03 HV ALU ARM Y,m,808.7690,1619453,7768035162,WIC. MCHVAG 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC A004-60-04 ALU ARM RED,m,808.7690,1619455,7768035163,WIC. MCAG 12/2,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC A004-60-05 ALU ARM BLU,m,808.7690,1619457,7768035164,WIC. MCAG 12/2,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC A005-42-00 ALU ARM BLK,m,1401.3570,1619460,7768035173,WIC. MCAG 12/3,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC A005-60-00 ALU ARM BLK,m,1416.4760,1619461,7768035180,WIC. MCAG 12/3,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC A005-60-01 HV ALU,m,1416.4760,1619463,7768035181,WIC. MCHVAG 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,250C AFC LH04-42-500 LUMINA,m,2060.3970,1139336,7768032311,WIC. MCLUMHCFA,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC LH04-60-500 LUMIN,m,2060.3970,1139337,7768032312,WIC. MCLUMHCFA,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,GRN 16/2 1TPJ 1000R AFC LH0,m,2060.3970,1139338,7768032315,WIC. MCLUMHCFHV,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,GRN 16/2 1TPJ 250C AFC LH04,m,2060.3970,1139342,7768032314,WIC. MCLUMHCFHV,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,16/2 1TPJ 250C AFC 18BG-42-,m,1835.5540,1140233,7768031107,WIC. MCLUMHVA 1,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC PL50R42-06 FA STL ARM B,m,961.3130,1402393,7768033381,WIC. MCFAPLS 18,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC SF10R42-00 FA RED STL A,m,884.7490,1857414,7768036876,WIC. MCFASG 16/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,SF10R60-00 FA RED STL ARM B,m,884.7490,1857434,7768036877,WIC. MCFASG 16/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,SF13R42-00 FA RED STL ARM B,m,1109.9670,1857435,7768036879,WIC. MCFASG 16/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,SF13R60-00 FA RED STL ARM B,m,1109.9670,1857436,7768036880,WIC. MCFASG 16/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,SF34R42-00 FA RED STL ARM B,m,930.5610,1857437,7768036883,WIC. MCFASG 14/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,SF34R60-00 FA RED STL ARM B,m,930.5610,1857438,7768036884,WIC. MCFASG 14/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC SF34R42B05 FA RED STL A,m,930.5610,1857439,7768036909,WIC. MCFASG 14/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC SF34R60B05 FA RED STL A,m,930.5610,1857441,7768036910,WIC. MCFASG 14/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC SF34R42K06 FA RED STL A,m,930.5610,1857442,7768036912,WIC. MCFASG 14/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC SF34R60K06 FA RED STL A,m,930.5610,1857444,7768036913,WIC. MCFASG 14/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC SF34R42T37 FA RED STL A,m,930.5610,1857447,7768036976,WIC. MCFASG 14/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC SF34R60T37 FA RED STL A,m,930.5610,1857448,7768036978,WIC. MCFASG 14/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,SF37R42-00 FA RED STL ARM B,m,1371.8890,1857449,7768036889,WIC. MCFASG 14/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,SF37R60-00 FA RED STL ARM B,m,1371.8890,1857450,7768036890,WIC. MCFASG 14/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC SF37R42B05 FA RED STL A,m,1371.8890,1857451,7768036921,WIC. MCFASG 14/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC SF37R42K06 FA RED STL A,m,1371.8890,1857453,7768036924,WIC. MCFASG 14/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,SF35R42-00 FA RED STL ARM B,m,1423.0510,1857455,7768036886,WIC. MCFASG 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,SF35R60-00 FA RED STL ARM B,m,1423.0510,1857456,7768036887,WIC. MCFASG 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC SF35R60B05 FA RED STL A,m,1423.0510,1857458,7768036916,WIC. MCFASG 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,250C AFC SF95R42K06 FA RED,m,1281.8020,1857467,7768036930,WIC. MCFASG 16/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,1000R AFC SF95R60K06 FA RED,m,1281.8020,1857468,7768036931,WIC. MCFASG 16/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 3914-60-00,m,6024.5740,1179332,7768026007,WIC. MCPLUS 10/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 3105Z42-01 HV MC-QUIK L,m,1401.3570,8585,7768031370,WIC. MCHVAQ 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,16/2 1TPJ 1000R AFC AL58-60,m,1625.3160,100388,7768036503,WIC. MCLUMHVAG,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,AFC 3104Z60-02 HV MC-QUIK L,m,808.7690,134127,7768031357,WIC. MCHVAQ 12/,2026-08-25,UOM=m but description doesn't match wire keywords
Data & Comm,4C/18 SH CMR/CL3P,m,1058.9060,323004,61282533684,BELDEN 5302FE-0,2026-08-25,UOM=m but description doesn't match wire keywords
Data & Comm,MULTI-CONDUCTOR CAT5E DATAT,m,1649.2670,846085,902968S0023,BELDEN 7958A,2026-08-25,UOM=m but description doesn't match wire keywords
Data & Comm,RS485 (1PR) 22 AWG (7X30) T,m,3297.0840,1275073,90296880036,BELDEN 3106A,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,9/16X1-1/4 STPL,m,91.1720,969493,78022772610,B-E SN-100-IB-1,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,INSLTD STAPLE,m,169.2690,477364,78022710030,B-E SN-40-I-B-S,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,1/2X1-1/2 INS STPL 3000 KEG,m,88.3970,310715,78022775026,B-E SN-150-IB-3,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,1/2X1 STPL,m,30.1990,256068,78022771966,B-E SN-40-B-100,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,1X1/2 CBL STPL,m,50.5170,261361,78022771985,B-E SN-40-I-B-5,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,1-1/2X1/2 INS STPL 100PK,m,72.5030,299884,78022775027,B-E SN150IB100,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,1/2X1 INS STPL 100/PK,m,39.3720,299901,78022771981,B-E SN40IB100,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,1/2X1 INS STPL 2500KEG,m,51.1070,299904,78022771980,B-E SN40IB2500,2026-08-25,UOM=m but description doesn't match wire keywords
Misc,1/2X1 INS STPL 500PACK,m,49.2180,299907,78022771984,B-E SN-40-I-B-5,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,6C/20 OA SH CM,m,1029.2890,801742,7940705963,CRL C0783A.41.1,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,19C/18 CBL,m,4412.5330,538331,7940704845,CRL C2424A.41.1,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,12C/18 CBL,m,2473.4880,974428,7940704835,CRL C2412A.41.1,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,2C/20 OA SH CM,m,414.8700,1077001,7940771199,CRL C0780.41.10,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,4C/20 OA SH CM,m,681.6810,1077624,7940704694,CRL C0782A.41.1,2026-08-25,UOM=m but description doesn't match wire keywords
Conductor,15C/22 CBL,m,1556.7450,120247,7940704684,CRL C0766A.41.1,2026-08-25,UOM=m but description doesn't match wire keywords
