Book,Category,Description,UOM,Customer Price,SKU,UPC,Manufacturer Part Number,Source Date
Retail,Wire Management,FRICTION TAPE,ea,13.7844,473335,5112857173,3M 1755-3/4X60F,2026-08-25
Retail,Wire Management,HEAT SHRINK TUBING,ea,8.3904,765917,5112859598,3M FP301-3/4-48,2026-08-25
Retail,Firestop & Sealants,PIP DEV FIRE BRR,ea,17.7132,478255,5111516505,3M ULTRA-RC-PAC,2026-08-25
Retail,Firestop & Sealants,PIP DEV FIRE BRR,ea,22.7328,478259,5111516506,3M ULTRA-RC-PAC,2026-08-25
Retail,Wire Management,SELF-FUSING TAPE,ea,43.3356,32963,89104000386,3M 23-3/4X30FT,2026-08-25
Retail,Wire Management,GLASS CLOTH TAPE,ea,32.8908,13035,5400715074,3M 27-3/4X66FT,2026-08-25
Retail,Wire Management,BLUE CODING TAPE,ea,9.9756,15522,5400710836,3M 35-BLUE-3/4X,2026-08-25
Retail,Wire Management,CODING TAPE,ea,9.9756,9778,5400710885,3M 35-BROWN-3/4,2026-08-25
Retail,Wire Management,CODING TAPE,ea,9.9756,33441,5400700072,3M 35-GRAY-3/4X,2026-08-25
Retail,Wire Management,CODING TAPE,ea,9.9756,32864,5400710851,3M 35-GREEN-3/4,2026-08-25
Retail,Wire Management,CODING TAPE,ea,9.9756,9328,5400710869,3M 35-ORANGE-3/,2026-08-25
Retail,Wire Management,CODING TAPE,ea,9.9756,15126,5400710810,3M 35-RED-3/4X6,2026-08-25
Retail,Wire Management,CODING TAPE,ea,9.9756,21824,5400711271,3M 35-VIOLET-3/,2026-08-25
Retail,Wire Management,CODING TAPE,ea,9.9756,20602,5400710828,3M 35-WHITE-3/4,2026-08-25
Retail,Wire Management,CODING TAPE,ea,9.1956,1596,5400710844,3M 35-YELLOW-3/,2026-08-25
Retail,Wire Management,ELECTRICAL TAPE,ea,41.8896,21719,5400709910,3M 69-3/4X66FT,2026-08-25
Retail,Wire Management,ELECT TAPE,ea,13.7304,19084,5400706143,3M 88-SUPER-3/4,2026-08-25
Retail,Wire Management,SPLICING TAPE,ea,68.0508,172,5400741718,3M 130C-1-1/2X3,2026-08-25
Retail,Wire Management,SPLICING TAPE,ea,44.5872,18408,5400741753,3M 130C-1X30FT,2026-08-25
Retail,Wire Management,SPLICING TAPE,ea,34.0668,25580,5400741717,3M 130C-3/4X30F,2026-08-25
Retail,Wire Management,3INX1000FT YEL CAUTION TAPE,ea,62.3016,19705,5112853042,3M 300,2026-08-25
Retail,Wire Management,3X1000FT RED CAUTION TAPE R,ea,59.1336,26868,5112853461,3M 302-R-3X1000,2026-08-25
Retail,Misc,CAUTION BURIED ELECTRIC LIN,ea,23.7363,34322,5112853462,3M 303,2026-08-25
Retail,Fittings,SELF-STRIP TAP CONN .190IN,ea,0.7117,26146,5400711032,3M 562-POUCH,2026-08-25
Retail,Fittings,SELF-STRIP TAP CONN,ea,0.9728,9310,5400714887,3M 567-BOX,2026-08-25
Retail,Firestop & Sealants,MASTIC PAD,ea,13.8636,20247,5400721296,3M 2200-6-1/2X4,2026-08-25
Retail,Wire Management,YEL VARNISHED CAMBRIC TAPE,ea,69.1164,10624,5400704836,3M 2520-3/4X60F,2026-08-25
Retail,Wire Management,SILVER DUCT TAPE,ea,28.8600,22175,5113106975,3M 3939-48MMX54,2026-08-25
Retail,Fittings,#10-1/0 AWG CONNECTOR INSUL,ea,50.2349,2544,5400742390,3M 8424-8,2026-08-25
Retail,Fittings,#2-1/0 AWG CONNECTOR INSULA,ea,42.0262,143,5400742391,3M 8425-8,2026-08-25
Retail,Fittings,2/0-250MCM CONNECTOR INSULA,ea,52.4698,22199,5400734457,3M 8426-9,2026-08-25
Retail,Fittings,2/0-250MCM CONNECTOR INSULA,ea,62.8966,10092,5400734458,3M 8426-11,2026-08-25
Retail,Fittings,250-400MCM CONNECTOR INSULA,ea,78.3565,16263,5400734459,3M 8427-12,2026-08-25
Retail,Fittings,500-800MCM CONNECTOR INSULA,ea,111.6339,30373,5400709056,3M 8428-12,2026-08-25
Retail,Wire Management,2X60YD DUCT TAPE,ea,43.2696,20975,2120085562,3M 3939-72MMX55,2026-08-25
Retail,Fittings,BLUE/GRAY CONN,ea,0.8640,30856,5400743150,3M B/G+POUCH (B,2026-08-25
Retail,Fittings,BLUE/GRAY CONN (250/JUG),ea,0.8602,23245,5400743151,3M B/G-BULK-PLU,2026-08-25
Retail,Firestop & Sealants,FIRE CAULK,ea,20.2020,33476,5111511638,3M CP-25WBPLUS-,2026-08-25
Retail,Fittings,ORANGE/BLUE CONN,ea,0.2291,10896,5400743152,3M O/B+POUCH (O,2026-08-25
Retail,Fittings,OB+JUG ORANGE/BLUE CONN,ea,0.1434,22077,5400743153,3M O/B-BULK-PLU,2026-08-25
Retail,Fittings,RED/YELLOW CONN,ea,0.3136,19792,5400743154,3M R/Y+POUCH (R,2026-08-25
Retail,Fittings,RED/YELLOW CONN,ea,0.2547,33298,5400743155,3M R/Y+JUG,2026-08-25
Retail,Wire Management,INSUL TAPE,ea,26.8344,11209,5400741750,3M SCOTCHFIL-1-,2026-08-25
Retail,Wire Management,CABLE STACKER,ea,0.6192,25292,5400749554,3M SI-1,2026-08-25
Retail,Wire Management,ELECT TAPE,ea,62.1672,20744,5400710356,3M 88-SUPER-2X3,2026-08-25
Retail,Wire Management,WRITE-ON TAPE W/DISPENSER,ea,74.0172,31517,5400711954,3M SWD,2026-08-25
Retail,Fittings,SPRING CONN 100/POUCH,ea,0.2906,23045,5112854454,3M T/R+POUCH (T,2026-08-25
Retail,Fittings,SPRING CONN 750/JUG,ea,0.2419,7996,5112854455,3M T/R+JUG,2026-08-25
Retail,Fittings,SPRING CONN 500JUG,ea,0.1395,33453,5112855219,3M T/Y+JUG,2026-08-25
Retail,Wire Management,SPLICING TAPE,ea,16.8576,3104,5400706165,3M 2242-3/4X15F,2026-08-25
Retail,Terminals & Lugs,UNDERGRND FEEDER SPLICE KIT,ea,52.1975,33385,5400742920,3M UF1,2026-08-25
Retail,Wire Management,FRIC TAPE,ea,33.7248,80941,5400750217,3M 1755-1-1/2X8,2026-08-25
Retail,Wire Management,VINYL ELECL TAPE 3/4IN X 76,ea,12.2844,1516209,63806029035,3M 33PLUS-SUPER,2026-08-25
Retail,Wire Management,CODING TAPE,ea,11.4600,1249056,5112861333,3M 35-PINK-3/4X,2026-08-25
Retail,Wire Management,SPLICING TAPE,ea,90.6792,81781,5400741754,3M 130C-2X30FT,2026-08-25
Retail,Firestop & Sealants,1.5IN X 6IN MOLDABLE PUTTY,ea,39.7260,153309,5111516561,3M MP-PLUS-STIC,2026-08-25
Retail,Wire Management,LINERLESS RUBBER TAP,ea,44.6100,83064,5400743251,3M 2242-2,2026-08-25
Retail,Firestop & Sealants,10.1FL OZ FIRE BLOCK SEALAN,ea,18.3864,55592,5111516591,3M FB-136,2026-08-25
Retail,Firestop & Sealants,MOLDABLE PUTTY PAD,ea,10.4088,55681,5111516508,3M MPP+4X8,2026-08-25
Retail,Wire Management,RUBBER MASTIC TAPE,ea,69.1656,55859,5400709656,3M 2228-2X10FT,2026-08-25
Retail,Wire Management,PLASTIC TAPE,ea,18.1740,85297,5400710174,3M 33-1-1/2X44F,2026-08-25
Retail,Fittings,SPRING CONN 100BOX,ea,0.2458,85323,5112855218,3M T/Y+POUCH (T,2026-08-25
Retail,Firestop & Sealants,FIRE BARRIER MOLDABLE PUTTY,ea,10.6104,60077,5111516509,3M MPP+7X7,2026-08-25
Retail,Wire Management,TAPE,ea,18.9660,87700,5400710349,3M 88-SUPER-1-1,2026-08-25
Retail,Wire Management,TEMFLEX VINYL ELECTRICAL TA,ea,2.5824,1608570,7630892568,3M 165BK4A,2026-08-25
Retail,Wire Management,TEMFLEX VINYL ELECTRICAL TA,ea,2.4252,1608572,7630892569,3M 165BL4A,2026-08-25
Retail,Wire Management,TEMFLEX VINYL ELECTRICAL TA,ea,2.6364,1608573,7630892570,3M 165BR4A,2026-08-25
Retail,Wire Management,TEMFLEX VINYL ELECTRICAL TA,ea,2.6364,1608574,7630892572,3M 165GY4A,2026-08-25
Retail,Wire Management,TEMFLEX VINYL ELECTRICAL TA,ea,2.4252,1608575,7630892571,3M 165GR4A,2026-08-25
Retail,Wire Management,TEMFLEX VINYL ELECTRICAL TA,ea,2.6772,1608576,7630892573,3M 165OR4A,2026-08-25
Retail,Wire Management,TEMFLEX VINYL ELECTRICAL TA,ea,2.4252,1608577,7630892575,3M 165RD4A,2026-08-25
Retail,Wire Management,TEMFLEX VINYL ELECTRICAL TA,ea,2.6364,1608579,7630892576,3M 165WH4A,2026-08-25
Retail,Wire Management,TEMFLEX VINYL ELECTRICAL TA,ea,2.6364,1608580,7630892577,3M 165YL4A,2026-08-25
Retail,Wire Management,RUBBER SPLICING TAPE 1IN-X-,ea,57.8292,192034,5400700059,3M 23-1X30FT,2026-08-25
Retail,Wire Management,SPLICING TAPE,ea,31.1880,63496,5400741323,3M 2242-1-1/2X1,2026-08-25
Retail,PPE & Safety,N95 RESPIRATOR / DUST MASK,ea,1.6080,92077,5113846457,3M> 8210-RESPIR,2026-08-25
Retail,Misc,INLINE POWER CABLE RESIN SP,ea,85.7462,1152252,5112861341,3M 82A1N,2026-08-25
Retail,Terminals & Lugs,RED SECURE GRIP WIRENUT CON,ea,0.2650,1419898,7630892605,3M SG-R-BAG,2026-08-25
Retail,Misc,FIRE BARRIER CAULK YELLOW 2,ea,40.5200,117149,5111516560,3M IC-15WB+-20O,2026-08-25
Retail,Misc,DT8 DUCT TP SILVER 48MMX54.,ea,18.0388,1681486,68933017225,3M DT8IW,2026-08-25
Retail,Wire Management,HEAT SHRINK THIN-WALL TUBIN,ea,5.7792,1446071,5112859867,3M FP-301-3/4-R,2026-08-25
Retail,Wire Management,ELECTRICIANS BUNDLING TAPE,ea,13.1700,73503,5400743403,3M 2000-50MMX46,2026-08-25
Retail,Firestop & Sealants,MOLDABLE PUTTY STICK 1.5X11,ea,35.0388,96054,5111516526,3M MP+1.4X11,2026-08-25
Retail,Misc,2X6X9 FIRE BARRIER PILLOWS,ea,40.6125,97170,5111516531,3M FB269,2026-08-25
Retail,Misc,FIRE BARRIER PILLOW 2 IN X,ea,32.5300,75368,5111516530,3M FB-249,2026-08-25
Retail,Wire Management,VARNISHED CAMBRIC TAPE,ea,61.5780,97277,5400741720,3M 2510-3/4X60F,2026-08-25
Retail,Wire Management,GLASS CLOTH TAPE,ea,21.9348,99011,5400715066,3M 27-1/2X66FT,2026-08-25
Retail,Misc,PLSTC,ea,5.4162,99079,5400706130,3M 33PLUS-SUPER,2026-08-25
Retail,Wire Management,2 X 100FT TEMFLEX PIPEWRAP,ea,22.4712,99783,5400709061,3M 1100UP-2X100,2026-08-25
Retail,Wire Management,HEAT SHRINK TUBING,ea,29.0088,42710,5112860077,"3M IT0.800BK6""P",2026-08-25
Retail,Misc,(ITCSN-1100-9IN-BLACK-12-3-,ea,48.9712,42711,5112860079,3M IT1.100BK9IN,2026-08-25
Retail,Terminals & Lugs,COLD SHRINK INSULATOR,ea,92.0813,51774,5112859546,3M WF103 (71000,2026-08-25
Retail,Fasteners,3/8 STL UNIV BEAM CLAMP,ea,3.3357,799081,78073000652,AGP 1652,2026-08-25
Retail,Firestop & Sealants,1LB GRY ASB-FREE DUCT SEAL,ea,4.5612,1009903,78073020001,AGP DS1,2026-08-25
Retail,Fasteners,2X5 STL NAIL PLATE,ea,0.5381,1020117,78073000662,AGP 1662,2026-08-25
Retail,Fasteners,1/4-20 STL UNIV BEAM CLAMP,ea,1.0383,1042621,78073010651,AGP 1651,2026-08-25
Retail,Fittings,PURPLE PVC TAPE 3/4 X 66,ea,1.5931,949216,78073000234,AGP 234,2026-08-25
Retail,Fittings,RED PVC TAPE 3/4IN X 66FT,ea,1.5931,723498,78073000225,AGP 225,2026-08-25
Retail,Fittings,WHITE PVC TAPE 3/4IN X 66FT,ea,1.5931,723500,78073000226,AGP 226,2026-08-25
Retail,Fittings,BLUE PVC TAPE 3/4IN X 66FT,ea,1.5931,723501,78073000227,AGP 227,2026-08-25
Retail,Fittings,GREEN PVC TAPE 3/4IN X 66FT,ea,1.5931,723502,78073000228,AGP 228,2026-08-25
Retail,Fittings,ORANGE PVC TAPE 3/4IN X 66F,ea,1.5931,723503,78073099229,AGP 229,2026-08-25
Retail,Fittings,YELLOW PVC TAPE 3/4IN X 66F,ea,1.5931,723504,78073000230,AGP 230,2026-08-25
Retail,Fittings,BROWN PVC TAPE 3/4IN X 66FT,ea,1.5931,723505,78073000231,AGP 231,2026-08-25
Retail,Fittings,GRAY PVC TAPE 3/4IN X 66FT,ea,1.5931,723506,78073000232,AGP 232,2026-08-25
Retail,Wire Management,3/4X3000/RL PLY MULE TAPE,ea,452.4888,444445,78073034250,AGP 34250,2026-08-25
Retail,Fittings,3/4X60FT 7MIL BLK PVC TAPE,ea,1.3608,1228839,78073000224,AGP 224,2026-08-25
Retail,Fasteners,1-1/2X2-3/4 STL NAIL PLATE,ea,0.3357,372021,78073010661,AGP 1661,2026-08-25
Retail,Fittings,HDPE 1730 SERIES RECTANGULA,ea,423.7747,1802571,78073017308,AGP 1730-18P2PE,2026-08-25
Retail,Data & Comm,#12 100/SPOOL PG JACK CHAIN,ea,0.3757,1153128,78073000105,AGP> 105,2026-08-25
Retail,Conduit & Raceway,3/8 ZP/STL 1HL EMT STRAP,ea,0.0850,1153634,78073000575,AGP 575,2026-08-25
Retail,Fittings,3/3 ZP/STL 2HL SEC STRAP,ea,0.3136,1153646,78073010592,AGP 592B,2026-08-25
Retail,Fittings,3-4/0 ZP/STL 2HL SEC STRAP,ea,0.4285,1153648,78073010594,AGP 594D,2026-08-25
Retail,Boxes,4-11/16 SQ BOX COVER,ea,1.3379,1153707,78073010641,AGP 641,2026-08-25
Retail,Boxes,4IN SQ BOX COVER,ea,1.1011,1153710,78073010642,AGP 642,2026-08-25
Retail,Boxes,4IN OCT/RND BOX COVER,ea,0.7525,1153712,78073010643,AGP 643,2026-08-25
Retail,Firestop & Sealants,5LB GRY ASB-FREE DUCT SEAL,ea,17.3328,1154474,78073020005,AGP DS5,2026-08-25
Retail,Devices,4IN TOGGLE SWITCH COVER,ea,3.0880,1159399,78073016673,AGP 644-G,2026-08-25
Retail,Fittings,1/2 KO SEALS W/HARDWARE,ea,0.7485,296908,78073018058,AGP 310,2026-08-25
Retail,Fittings,3/4 KO SEALS W/HARDWARE,ea,0.9268,296912,78073018060,AGP 311,2026-08-25
Retail,Fittings,1IN KO SEALS W/HARDWARE,ea,1.2997,296915,78073018061,AGP 312,2026-08-25
Retail,Fittings,1-1/4 KO SEALS W/HDWR,ea,1.6675,296920,78073018062,AGP 313,2026-08-25
Retail,Fittings,1-1/2 KO SEALS W/HDWR,ea,2.6909,296922,78073018064,AGP 314,2026-08-25
Retail,Fittings,2IN KO SEALS W/HARDWARE,ea,3.2882,296925,78073018066,AGP 315,2026-08-25
Retail,Fittings,2-1/2 KO SEALS W/HDWR,ea,4.2351,296928,78073000416,AGP 416,2026-08-25
Retail,Fittings,3IN IN KO SEALS W/HARDWARE,ea,5.3874,296931,78073000417,AGP 417,2026-08-25
Retail,Fittings,3-1/2 KO SEALS W/HDWR,ea,5.9945,296934,78073000418,AGP 418,2026-08-25
Retail,Fittings,4IN IN KO SEALS W/HARDWARE,ea,8.7002,296938,78073000419,AGP 419,2026-08-25
Retail,Fasteners,3/8-16 TOP BEAM CLAMP,ea,2.7763,1170079,78073012353,AGP 353-EG,2026-08-25
Retail,Fittings,T-BAR,ea,5.6077,99262,78073010001,AGP 175,2026-08-25
Retail,Fittings,10IN RD GRN BODY AND CVR EL,ea,50.6138,1130606,78073091010,AGP 910L-1G2GE2,2026-08-25
Retail,Fittings,10X15 PLASTIC HANDHOLE ELEC,ea,103.1936,1885705,78073010151,AGP 10151G2GHDE,2026-08-25
Retail,Motors & Controls,15KVA 1PH TFMR,ea,2952.8996,8798,4750373415,ACME T2535173S,2026-08-25
Retail,Motors & Controls,50KVA DIST TFMR,ea,5838.6947,122409,4750320151,ACME TP530203S,2026-08-25
Retail,Motors & Controls,ICT .350KVA 240X480-120,ea,298.8023,1566374,4750301531,ACME CE350N008,2026-08-25
Retail,Motors & Controls,ICT .500KVA 240X480-120,ea,354.3683,1566375,4750301532,ACME CE500N008,2026-08-25
Retail,Motors & Controls,10KVA 1PH TFMR,ea,2199.1851,62231,4750373410,ACME T2535163S,2026-08-25
Retail,Motors & Controls,1KVA TRANSFORMER,ea,854.3178,112025,4750340000,ACME TF279260S,2026-08-25
Retail,Motors & Controls,6KVA 3PH TFMR,ea,2105.7786,164450,4750373355,ACME T2A533091S,2026-08-25
Retail,Motors & Controls,TFMR 1PH 2.0KVA 240X480-120,ea,545.0247,163506,4750307389,ACME T1002K0190,2026-08-25
Retail,Motors & Controls,TFMR 1PH 5.0KVA 240X480-120,ea,982.9553,170309,4750307395,ACME T1005K0190,2026-08-25
Retail,Motors & Controls,TFMR 1PH 3.0KVA 240X480-120,ea,690.9948,171171,4750307392,ACME T1003K0190,2026-08-25
Retail,Motors & Controls,TFMR 1PH 3.0KVA,ea,1158.0125,172780,4750307329,ACME T1003K0220,2026-08-25
Retail,Motors & Controls,TFMR 1PH .50KVA 120X240-12X,ea,328.0095,172783,4750307365,ACME B1500V0280,2026-08-25
Retail,Motors & Controls,TFMR 1PH .75KVA 120X240-16/,ea,489.8502,172784,4750307369,ACME B1750V0290,2026-08-25
Retail,Motors & Controls,TFMR 1PH 7.5KVA 240X480-120,ea,1364.4814,193391,4750307404,ACME T1007K0193,2026-08-25
Retail,Motors & Controls,TFMR 1PH 1.0KVA,ea,509.6966,199313,4750307326,ACME T1001K0220,2026-08-25
Retail,Motors & Controls,TFMR 1PH 15KVA 240X480-120/,ea,2203.6496,202364,4750307318,ACME T1015K0193,2026-08-25
Retail,Motors & Controls,TFMR 1PH 1KVA 120X240-12/24,ea,546.3491,232434,4750307257,ACME B1001K0280,2026-08-25
Retail,Motors & Controls,TFMR 1PH .50KVA 120X240-16/,ea,385.7193,233545,4750307368,ACME B1500V0290,2026-08-25
Retail,Motors & Controls,TFMR 1PH 1.5KVA 120X240-16/,ea,681.8121,234286,4750307263,ACME B1105K0290,2026-08-25
Retail,Motors & Controls,TFMR 1PH .25KVA 120X240-12X,ea,262.4819,234291,4750307364,ACME B1250V0280,2026-08-25
Retail,Misc,3/4 TO 1-1/8 CABLE CLAMP,ea,49.6225,353593,78106313285,ADA SH75,2026-08-25
Retail,Misc,1/2 TO 3/4 CBL CLAMP,ea,23.7050,296756,78106313282,ADA SH50,2026-08-25
Retail,Misc,CABLE CLAMP SPRING,ea,20.0825,296760,78106391668,ADA SHS75,2026-08-25
Retail,Lighting,(2)F32T8 ELEC BAL,ea,37.4774,532463,78108708683,ADV IOPA2P32N35,2026-08-25
Retail,Lighting,ELE BALLAST (3) F32T8 120-2,ea,41.7218,824073,78108712461,ADV IOPA3P32N35,2026-08-25
Retail,Lighting,ELE BALLAST (2) F28T5 120-2,ea,91.5719,881665,78108713172,ADV ICN2S28T35I,2026-08-25
Retail,Lighting,120-277V FLU BALLAST,ea,120.9370,897410,78108713169,ADV ICN2S24T35I,2026-08-25
Retail,Lighting,ELE BALLAST (3) F32T8 120-2,ea,38.3468,664371,78108709149,ADV ICN3P32N35I,2026-08-25
Retail,Lighting,ELE BALLAST (4) F32T8 120-2,ea,38.7234,664372,78108709151,ADV ICN4P32N35I,2026-08-25
Retail,Lighting,(2)F28T5 ELEC BLST,ea,91.5719,432266,78108708072,ADV ICN2S28N35I,2026-08-25
Retail,Lighting,2-F96T12 ELEC BLST 120-277V,ea,79.2599,953393,78108713555,ADV ICN2P60N35I,2026-08-25
Retail,Lighting,1 OR 2 F96T8 ELECTRONIC BAL,ea,72.7029,953394,78108713562,ADV IOP2P59N35I,2026-08-25
Retail,Lighting,2-LAMP F96T12HO BALST.120-2,ea,112.4091,470487,78108708528,ADV ICN2S110SC3,2026-08-25
Retail,Lighting,120-277V BAL,ea,45.9661,783005,78108711524,ADV IOPA4P32N35,2026-08-25
Retail,Lighting,54W 120-277V BAL,ea,70.4093,787395,78108712485,ADV ICN2S5490CN,2026-08-25
Retail,Lighting,70W QUAD MH,ea,220.7655,23367,78108705072,ADV 71A5292-001,2026-08-25
Retail,Lighting,400W MH 5-TAP,ea,239.6898,16973,78108711037,ADV 71A6051001D,2026-08-25
Retail,Lighting,1000W MH 5-TAP,ea,453.0398,16622,78108711183,ADV 71A6552001,2026-08-25
Retail,Lighting,400W HPS 5-TAP,ea,363.4808,762,78108711181,ADV 71A8453001D,2026-08-25
Retail,Lighting,2-18W CFL 4-PIN 120-277V EL,ea,47.8886,34783,78108711776,ADV ICF2S18H1LD,2026-08-25
Retail,Lighting,2-13W CFL 4PIN 120/277V BAL,ea,68.9270,206353,78108711775,ADV ICF2S13H1LD,2026-08-25
Retail,Lighting,2-F32T8 UNIV BALLAST,ea,30.9258,316009,78108706912,ADV ICN2P32N35I,2026-08-25
Retail,Lighting,ELE BALLAST (2) 40W CFL (4-,ea,75.5487,319968,78108706534,ADV ICN2TTP40SC,2026-08-25
Retail,Lighting,120-277V BAL,ea,160.2180,205182,78108704786,ADV ICN4S5490C2,2026-08-25
Retail,Lighting,ELE BALLAST (2) F40T12 120-,ea,42.5966,328916,78108707487,ADV ICN2S40N35I,2026-08-25
Retail,Lighting,ELE BALLAST (1) F32T8 120-2,ea,27.0459,358576,78108707406,ADV ICN1P32N35I,2026-08-25
Retail,Lighting,120-277V ELEC BAL,ea,96.1497,879991,78108713178,ADV ICN2S54T35I,2026-08-25
Retail,Lighting,100W 0.1-1.1A 0-10V LED DRI,ea,82.8117,1781164,78108714156,ADV XI100C110V1,2026-08-25
Retail,Lighting,2-42W COMP 277 BAL,ea,76.6179,64519,78108711779,ADV ICF2S42M2LD,2026-08-25
Retail,Lighting,ELE BALLAST (3) 40W CLF (4-,ea,73.2375,267022,78108706509,ADV ICN3TTP40SC,2026-08-25
Retail,Lighting,ELE BAL (2) 26W CFL (4-PIN),ea,72.3762,91305,78108711778,ADV ICF2S26H1LD,2026-08-25
Retail,Lighting,ELE BALLAST (2) F28T5 120-2,ea,109.8576,296331,78108705764,ADV IOP2S28115S,2026-08-25
Retail,Lighting,XITANIUM 36W 1.0A 54V 0-10V,ea,68.9958,1439672,78108714207,ADV XI036C100V0,2026-08-25
Retail,Lighting,XITANIUM 75W 0.1-2.0A 54V 0,ea,74.3283,1439674,78108714322,ADV XI075C200V0,2026-08-25
Retail,Lighting,XITANIUM 54W 0.1-1.5A 54V 0,ea,66.6535,1444793,78108714287,ADV XI054C150V0,2026-08-25
Retail,Lighting,(2)F32T8 277V BLST,ea,23.4104,41974,78108706913,ADV ICN2P32N35M,2026-08-25
Retail,Wire Management,4.1 IN.UV BLK.CABLE TIE,m,33.1164,296767,84047600027,ADT AL04180C,2026-08-25
Retail,Misc,(WAS AL1450MH0C) 14IN CABLE,m,170.5650,73047,84047601254,ADT AL-15-50-MH,2026-08-25
Retail,Conductor,1000R AFC 3908-60-00 MC PLU,m,4248.8970,512086,7768025977,WIC. MCPLUS 10/,2026-08-25
Retail,Conduit & Raceway,1IN ALUM FLEX CONDUIT 50FT,ea,3.7937,657631,7768011929,AFC 5604-24-00,2026-08-25
Retail,Conductor,6FT 1/2IN NM WHIPS TYPE UL,ea,24.8803,398297,7768013730,AFC 8015,2026-08-25
Retail,Conductor,4FT 3/4IN NM WHIPS TYPE UL,ea,26.5328,398301,7768013731,AFC 8016,2026-08-25
Retail,Conductor,AFC 3908-42-00 MC PLUS BLK,m,4248.8970,1266639,7768025971,WIC. MCPLUS 10/,2026-08-25
Retail,Conductor,4FT 1/2IN NM WHIPS TYPE UL,ea,22.2663,371940,7768013729,AFC 8014,2026-08-25
Retail,Devices,1/2 KO DUPLEX 25PCS/BOX,ea,1.8499,292686,7768014667,AFC 0122-22-00,2026-08-25
Retail,Fittings,1/2 CABLE CONN,ea,1.6639,2872,84213610713,AFC QL-50KON,2026-08-25
Retail,Conduit & Raceway,3/4IN 6FT LIQUIDTIGHT WHIP,ea,35.3847,175328,7768013732,AFC 8017,2026-08-25
Retail,Misc,200LB LIFT,ea,1363.3150,89286,80065161400,ALA ALL200,2026-08-25
Retail,Misc,300LB LIFT,ea,1513.8100,91295,80065161410,ALA ALL300,2026-08-25
Retail,Fittings,1/2 90DEG ALUM ELBOW,ea,10.6394,32883,98002001161,ALE 012A90 1/2,2026-08-25
Retail,Fittings,3/4 90DEG ALUM ELBOW,ea,14.4538,23655,98002001162,ALE 034A90 3/4,2026-08-25
Retail,Fittings,1 IN 90DEG ALUM ELBOW,ea,20.1382,30959,98002001163,ALE 100A90 1IN,2026-08-25
